ROUTE,avg_dep_delay,cancel_rate,flight_count,risk_score
BUR-PHX,9.152722443559098,0.006640106241699867,753,-0.6017660684292181
BUR-SFO,20.45571245186136,0.028241335044929396,779,1.252809696564931
BUR-SJC,5.7853211009174315,0.01834862385321101,545,-0.45908323526306677
BUR-SMF,4.576190476190476,0.014285714285714285,630,-0.7246095952702712
BWI-ATL,9.852471482889733,0.01064638783269962,1315,-0.38468819884071703
BWI-BOS,9.939429928741093,0.023752969121140142,842,0.1254007823590892
BWI-CLT,9.93161094224924,0.0060790273556231,658,-0.552500023541488
BWI-DEN,12.843657817109145,0.022123893805309734,678,0.32683878609652217
BWI-FLL,15.346418056918548,0.014720314033366046,1019,0.27054782705781777
BWI-MCO,14.60643394934976,0.01574264202600958,1461,0.24248946322694892
BWI-MIA,14.910863509749303,0.013927576601671309,718,0.2006021404662122
BWI-ORD,9.649149922720246,0.03245749613601236,647,0.43254855675203996
BWI-TPA,15.64241676942047,0.011097410604192354,811,0.158625859368785
BZN-DEN,10.798951048951048,0.02097902097902098,572,0.09720477015461974
CAE-ATL,3.544230769230769,0.0,520,-1.3657339648620426
CHA-ATL,7.184824902723736,0.005836575875486381,514,-0.811342956290796
CHS-ATL,3.8103727714748783,0.0,617,-1.3415542169722616
CHS-CLT,10.03211009174312,0.00764525993883792,654,-0.48335800923308914
CLE-ATL,8.08307210031348,0.0,638,-0.9533674906794531
CLE-LGA,9.112195121951219,0.02926829268292683,615,0.26156796670143834
CLE-MCO,23.061611374407583,0.0315955766192733,633,1.6180832273045833
CLE-ORD,7.271646859083192,0.035653650254668934,589,0.3390087897577558
CLT-ATL,11.591228070175438,0.0,1140,-0.6346416744083013
CLT-AVL,5.040998217468806,0.008912655971479501,561,-0.888253295323182
CLT-BHM,6.391634980988593,0.009505703422053232,526,-0.7428210934627582
CLT-BNA,10.574973031283712,0.021574973031283712,927,0.09969009165019088
CLT-BOS,13.080645161290322,0.0062724014336917565,1116,-0.25899215241706197
CLT-BWI,11.543247344461305,0.006069802731411229,659,-0.4064317814341108
CLT-CHS,11.725880551301685,0.006125574272588055,653,-0.3877021132644197
CLT-DCA,16.985,0.00625,800,0.09487111525476072
CLT-DEN,11.982708933717579,0.005763688760806916,694,-0.3782344506164829
CLT-DFW,12.226626016260163,0.006097560975609756,984,-0.3432813329549656
CLT-DTW,10.569682151589243,0.008557457212713936,818,-0.3995665511912416
CLT-EWR,14.890442890442891,0.023310023310023312,858,0.5582424026945713
CLT-FLL,16.79232283464567,0.004921259842519685,1016,0.02645417117322907
CLT-GSO,10.010752688172044,0.0030721966205837174,651,-0.6605187646650443
CLT-GSP,9.170572916666666,0.0078125,768,-0.5552231504110308
CLT-IAH,11.68013468013468,0.006734006734006734,594,-0.3685457047076007
CLT-ILM,13.294498381877023,0.006472491909385114,618,-0.23189636938315278
CLT-JAX,13.401294498381876,0.0016181229773462784,618,-0.40819245490596806
CLT-JFK,18.89021164021164,0.01455026455026455,756,0.5859958461394157
CLT-LAS,16.368916797488225,0.004709576138147566,637,-0.0201242767160264
CLT-LAX,12.840974212034384,0.0028653295128939827,698,-0.41131146507608934
CLT-LGA,14.263808139534884,0.020348837209302327,1376,0.387850794559688
CLT-MCO,16.484046164290564,0.006109979633401222,1473,0.043993067130951635
CLT-MIA,13.207943925233645,0.008177570093457943,856,-0.174428726123242
CLT-MSP,8.151736745886655,0.003656307129798903,547,-0.8070349453801409
CLT-MYR,10.194915254237289,0.006779661016949152,590,-0.5017327798078488
CLT-ORD,12.727969348659004,0.006704980842911878,1044,-0.2744591330367981
CLT-ORF,15.25305410122164,0.0034904013961605585,573,-0.16821713574705288
CLT-PBI,10.590909090909092,0.0016233766233766235,616,-0.6633225597218584
