ROUTE,avg_dep_delay,cancel_rate,flight_count
HOU-ATL,8.68064952638701,0.0040595399188092015,739
HOU-DAL,6.341897233201581,0.019762845849802372,1012
HOU-DEN,8.596952908587257,0.0221606648199446,722
HOU-DFW,7.654580152671755,0.030534351145038167,524
HOU-MCO,12.153398058252428,0.021359223300970873,515
HOU-MSY,8.47938144329897,0.001718213058419244,582
HPN-PBI,6.438291139240507,0.00949367088607595,632
HSV-ATL,3.2174657534246576,0.011986301369863013,584
IAD-ATL,6.102201257861635,0.006289308176100629,636
IAD-DEN,14.645925925925926,0.03851851851851852,675
IAD-LAX,8.841584158415841,0.04950495049504951,505
IAD-SFO,12.22972972972973,0.052123552123552123,518
IAH-ATL,10.784600389863547,0.003898635477582846,1026
IAH-AUS,10.137254901960784,0.01764705882352941,510
IAH-BNA,10.718045112781954,0.02443609022556391,532
IAH-CLT,16.86195286195286,0.005050505050505051,594
IAH-DCA,13.347902097902098,0.013986013986013986,572
IAH-DEN,12.716129032258065,0.03064516129032258,1240
IAH-DFW,19.366319444444443,0.017361111111111112,1152
IAH-EWR,9.33616504854369,0.04247572815533981,824
IAH-FLL,19.38048090523338,0.015558698727015558,707
IAH-LAS,14.81934846989141,0.017769002961500493,1013
IAH-LAX,11.568086883876358,0.036758563074352546,1197
IAH-LGA,16.36015325670498,0.011494252873563218,783
IAH-MCO,21.023,0.014,1000
IAH-MIA,14.106965174129353,0.03855721393034826,804
IAH-MSY,10.0,0.033625730994152045,684
IAH-ORD,15.548076923076923,0.025,1040
IAH-PHX,9.109204368174726,0.0093603744149766,641
IAH-SFO,24.123456790123456,0.04252400548696845,729
IAH-SLC,11.590909090909092,0.012237762237762238,572
ICT-DFW,9.163934426229508,0.01639344262295082,610
ILM-CLT,6.445880452342488,0.008077544426494346,619
IND-ATL,6.502597402597402,0.0025974025974025974,770
IND-DEN,9.986394557823129,0.017006802721088437,588
IND-EWR,2.62671905697446,0.015717092337917484,509
IND-JFK,2.605058365758755,0.021400778210116732,514
IND-LGA,1.3768115942028984,0.024154589371980676,621
IND-MCO,14.993993993993994,0.016516516516516516,666
IND-ORD,5.271764705882353,0.029411764705882353,850
ITO-HNL,2.3243574051407587,0.0055079559363525096,1634
JAN-ATL,3.907488986784141,0.002936857562408223,681
JAX-ATL,2.435336976320583,0.0009107468123861566,1098
JAX-CLT,14.755267423014587,0.0016207455429497568,617
JFK-ATL,17.936813186813186,0.0027472527472527475,728
JFK-AUS,9.622673434856177,0.00676818950930626,591
JFK-BOS,14.396280400572246,0.015021459227467811,1398
JFK-BUF,15.525757575757575,0.05303030303030303,660
JFK-CLT,8.172185430463577,0.01456953642384106,755
JFK-CVG,1.2125237191650853,0.017077798861480076,527
JFK-DCA,2.396330275229358,0.01834862385321101,545
JFK-FLL,24.305641025641027,0.024615384615384615,975
JFK-IND,4.083657587548638,0.017509727626459144,514
JFK-LAS,7.980509745127437,0.0029985007496251873,667
JFK-LAX,6.428191489361702,0.0026595744680851063,2256
JFK-MCO,19.243626062322946,0.0084985835694051,1059
JFK-MIA,11.890326975476839,0.014986376021798364,1468
JFK-ORD,15.207936507936507,0.02857142857142857,630
JFK-PBI,25.572202166064983,0.01263537906137184,554
JFK-PHX,12.46539027982327,0.007363770250368188,679
JFK-RDU,9.806919642857142,0.011160714285714286,896
JFK-SAN,5.221782178217822,0.031683168316831684,505
JFK-SEA,8.260647359454856,0.039182282793867124,587
JFK-SFO,13.187188612099645,0.022775800711743774,1405
JFK-SJU,23.9819587628866,0.010309278350515464,776
JFK-SLC,10.82940108892922,0.009074410163339383,551
JFK-TPA,16.00728597449909,0.01092896174863388,549
KOA-HNL,4.539259259259259,0.012345679012345678,2025
LAS-ATL,11.054735013032145,0.0034752389226759338,1151
LAS-AUS,14.72439024390244,0.003658536585365854,820
LAS-BUR,12.257879656160458,0.021012416427889206,1047
LAS-CLT,9.2984375,0.003125,640
LAS-DAL,13.857142857142858,0.022408963585434174,714
LAS-DEN,12.823502090106828,0.026474686483975846,2153
LAS-DFW,18.217957059206245,0.01236174365647365,1537
LAS-DTW,12.0423197492163,0.006269592476489028,638
LAS-EWR,9.899159663865547,0.022408963585434174,714
LAS-IAH,11.454456415279138,0.02056807051909892,1021
LAS-JFK,8.1062874251497,0.004491017964071856,668
LAS-LAX,14.022378236068452,0.016673979815708645,2279
LAS-LGB,12.12982456140351,0.014035087719298246,570
LAS-MDW,15.229711141678129,0.02888583218707015,727
LAS-MSP,7.353780313837375,0.005706134094151213,701
LAS-OAK,15.154192966636609,0.009918845807033363,1109
LAS-ONT,11.061359867330017,0.001658374792703151,603
LAS-ORD,12.23330585325639,0.028029678483099753,1213
LAS-PDX,9.768130745658835,0.02247191011235955,979
LAS-PHX,12.526894158473105,0.01098901098901099,1729
LAS-RNO,13.686686686686686,0.01901901901901902,999
LAS-SAN,10.247695144437616,0.007375537799631223,1627
LAS-SAT,10.926062846580407,0.014787430683918669,541
LAS-SEA,11.709068010075567,0.023299748110831235,1588
LAS-SFO,23.279661016949152,0.045454545454545456,1298
LAS-SJC,10.15223880597015,0.009950248756218905,1005
LAS-SLC,10.972175379426645,0.00505902192242833,1186
LAS-SMF,12.192889561270801,0.014372163388804841,1322
LAS-SNA,11.954034729315628,0.007150153217568948,979
